Value Research,,,
Generate on: 23-Jul-2020 06:27,,,
,,,
All Equity Funds,,,
,,,
Fund Name,Category,Expense Ratio (%),1 Yr Ret (%)
Edelweiss Greater China Equity Off-shore Fund - Direct Plan,EQ-INTL,1.52,55.07
Edelweiss Greater China Equity Off-shore Fund - Regular Plan,EQ-INTL,2.35,53.86
Edelweiss Large Cap Fund - Direct Plan,EQ-LC,0.59,3.25
Edelweiss Large Cap Fund - Plan B,EQ-LC,2.02,1.64
Edelweiss Large Cap Fund - Plan C,EQ-LC,2.02,1.63
Edelweiss Large Cap Fund - Regular Plan,EQ-LC,2.52,1.61
Edelweiss Large & Mid Cap Fund - Direct Plan,EQ-L&MC,0.92,2.53
Edelweiss Large & Mid Cap Fund Regular Plan,EQ-L&MC,2.50,0.92
Edelweiss Long Term Equity Fund (Tax Savings) - Direct Plan,EQ-ELSS,0.68,-0.61
Edelweiss Long Term Equity Fund (Tax Savings) - Regular Plan,EQ-ELSS,2.38,-2.30
Edelweiss Maiden Opportunities Fund Series 1 - Direct Plan,EQ-MLC,1.23,18.34
Edelweiss Maiden Opportunities Fund Series 1 - Regular Plan,EQ-MLC,1.41,18.10
Edelweiss Mid Cap Fund - Direct Plan,EQ-MC,0.65,4.22
Edelweiss Mid Cap Fund - Regular Plan,EQ-MC,2.30,2.53
Edelweiss Multi Cap Fund - Direct Plan,EQ-MLC,0.70,-1.17
Edelweiss Multi Cap Fund - Regular Plan,EQ-MLC,2.49,-2.93
Edelweiss Small Cap Fund - Direct Plan,EQ-SC,0.92,5.72
Edelweiss Small Cap Fund - Regular Plan,EQ-SC,2.48,4.07
Edelweiss US Technology Equity Fund of Fund - Direct Plan,EQ-INTL,1.22,NA
Edelweiss US Technology Equity Fund of Fund - Regular Plan,EQ-INTL,2.32,NA
Edelweiss US Value Equity Off-shore Fund - Direct Plan,EQ-INTL,1.52,6.34
Edelweiss US Value Equity Off-shore Fund - Regular Plan,EQ-INTL,2.37,5.46
Essel Large Cap Equity Fund,EQ-LC,2.45,-0.90
Essel Large Cap Equity Fund - Direct Plan,EQ-LC,0.53,0.65
Essel Large & Midcap Fund,EQ-L&MC,2.60,-7.24
Essel Large & Midcap Fund - Direct Plan,EQ-L&MC,0.72,-5.57
Essel Long Term Advantage Fund,EQ-ELSS,2.33,-4.12
Essel Long Term Advantage Fund - Direct Plan,EQ-ELSS,0.58,-2.67
Essel Multi Cap Fund - Direct Plan,EQ-MLC,0.53,-2.17
Essel Multi Cap Fund - Regular Plan,EQ-MLC,2.60,-4.02
Franklin Asian Equity Fund,EQ-INTL,2.66,15.49
Franklin Asian Equity Fund - Direct Plan,EQ-INTL,2.00,16.15
Franklin Build India Fund,EQ-INFRA,2.41,-16.51
Franklin Build India Fund - Direct Plan,EQ-INFRA,1.29,-15.59
Franklin India Bluechip Fund,EQ-LC,1.96,-5.18
Franklin India Bluechip Fund - Direct Plan,EQ-LC,1.23,-4.46
Franklin India Equity Advantage Fund,EQ-L&MC,2.13,-12.09
Franklin India Equity Advantage Fund - Direct Plan,EQ-L&MC,1.14,-11.29
Franklin India Equity Fund,EQ-MLC,1.86,-5.54
Franklin India Equity Fund - Direct Plan,EQ-MLC,1.11,-4.80
Franklin India Feeder - Franklin European Growth Fund,EQ-INTL,1.43,-12.32
Franklin India Feeder - Franklin European Growth Fund Direct Plan,EQ-INTL,0.64,-11.53
Franklin India Feeder Franklin US Opportunities Fund,EQ-INTL,1.54,35.93
Franklin India Feeder Franklin US Opportunities Fund - Direct Plan,EQ-INTL,0.68,37.24
Franklin India Focused Equity Fund,EQ-MLC,1.91,-9.76
Franklin India Focused Equity Fund - Direct Plan,EQ-MLC,1.11,-8.98
Franklin India Index Fund - NSE Nifty Plan,EQ-LC,0.67,-2.18
Franklin India Index Fund - NSE Nifty Plan - Direct Plan,EQ-LC,0.26,-1.67
Franklin India Opportunities Fund,EQ-THEMATIC,2.51,-4.96
Franklin India Opportunities Fund - Direct Plan,EQ-THEMATIC,1.42,-4.06
Franklin India Prima Fund,EQ-MC,2.18,-5.65
Franklin India Prima Fund - Direct Plan,EQ-MC,1.14,-4.84
Franklin India Smaller Companies Fund,EQ-SC,2.01,-16.68
Franklin India Smaller Companies Fund - Direct Plan,EQ-SC,1.18,-15.93
Franklin India Taxshield Fund,EQ-ELSS,1.98,-10.56
Franklin India Taxshield Fund - Direct Plan,EQ-ELSS,1.05,-9.67
Franklin India Technology Fund,EQ-IT,2.42,22.61
Franklin India Technology Fund - Direct Plan,EQ-IT,1.46,23.71
HDFC Capital Builder Value Fund,EQ-VAL,1.98,-7.67
HDFC Capital Builder Value Fund - Direct Plan,EQ-VAL,1.18,-6.85
HDFC Equity Fund,EQ-MLC,1.80,-14.73
HDFC Equity Fund - Direct Plan,EQ-MLC,1.20,-14.25
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Direct Plan,EQ-LC,1.08,-16.78
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Regular Plan,EQ-LC,1.40,-17.07
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Direct Plan,EQ-LC,0.81,-15.62
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Regular Plan,EQ-LC,1.36,-16.04
HDFC Focused 30 Fund,EQ-MLC,2.53,-11.56
HDFC Focused 30 Fund - Direct Plan,EQ-MLC,1.68,-10.76
HDFC Growth Opportunities Fund - Direct Plan,EQ-L&MC,2.12,-7.56
HDFC Growth Opportunities Fund - Regular Plan,EQ-L&MC,2.37,-7.79
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Direct Plan,EQ-THEMATIC,0.79,-18.98
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Regular Plan,EQ-THEMATIC,1.34,-19.41
HDFC Index Fund Nifty 50 Plan,EQ-LC,0.30,-1.69
HDFC Index Fund Nifty 50 Plan - Direct Plan,EQ-LC,0.10,-1.51
HDFC Index Fund - Sensex Plan,EQ-LC,0.30,-0.07
HDFC Index Fund - Sensex Plan - Direct Plan,EQ-LC,0.10,0.19
HDFC Infrastructure Fund,EQ-INFRA,2.67,-32.82
HDFC Infrastructure Fund - Direct Plan,EQ-INFRA,1.92,-32.30
HDFC Long Term Advantage Fund,EQ-ELSS,2.21,-6.55
HDFC Long Term Advantage Fund - Direct Plan,EQ-ELSS,1.71,-6.08
HDFC Mid-Cap Opportunities Fund,EQ-MC,1.92,-3.38
HDFC Mid-Cap Opportunities Fund - Direct Plan,EQ-MC,1.12,-2.73
HDFC Nifty 50 ETF,EQ-LC,0.05,-1.12
HDFC Retirement Savings Fund Equity Plan - Direct Plan,EQ-MLC,1.18,-1.06
HDFC Retirement Savings Fund Equity Plan - Regular Plan,EQ-MLC,2.58,-2.31
HDFC Sensex ETF,EQ-LC,0.05,0.64
HDFC Small Cap Fund - Direct Plan,EQ-SC,0.93,-15.51
HDFC Small Cap Fund - Regular Plan,EQ-SC,1.93,-16.37
HDFC Taxsaver Fund,EQ-ELSS,2.02,-10.33
HDFC Taxsaver Fund - Direct Plan,EQ-ELSS,1.37,-9.82
HDFC Top 100 Fund,EQ-LC,1.88,-12.62
HDFC Top 100 Fund - Direct Plan,EQ-LC,1.28,-12.12
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan,EQ-INTL,1.24,9.72
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan,EQ-INTL,2.04,8.85
HSBC Brazil Fund,EQ-INTL,2.31,-25.07
HSBC Brazil Fund - Direct Plan,EQ-INTL,1.60,-24.48
HSBC Focused Equity Fund - Direct Plan,EQ-MLC,NA,NA
HSBC Focused Equity Fund - Regular Plan,EQ-MLC,NA,NA
HSBC Global Consumer Opportunities Fund - Direct Plan,EQ-INTL,1.48,15.21
HSBC Global Consumer Opportunities Fund - Regular Plan,EQ-INTL,2.16,14.38
HSBC Global Emerging Markets Fund,EQ-INTL,2.39,17.75
HSBC Global Emerging Markets Fund - Direct Plan,EQ-INTL,1.69,18.61
HSBC Infrastructure Equity Fund,EQ-INFRA,2.55,-20.73
HSBC Infrastructure Equity Fund - Direct Plan,EQ-INFRA,1.25,-19.66
HSBC Large and Mid Cap Equity Fund - Direct Plan,EQ-L&MC,0.81,0.28
HSBC Large and Mid Cap Equity Fund - Regular Plan,EQ-L&MC,2.42,-1.36
HSBC Large Cap Equity Fund,EQ-LC,2.49,-0.16
HSBC Large Cap Equity Fund - Direct Plan,EQ-LC,1.56,0.79
HSBC Multi Cap Equity Fund,EQ-MLC,2.51,-1.93
HSBC Multi Cap Equity Fund - Direct Plan,EQ-MLC,1.38,-0.79
HSBC Small Cap Equity Fund,EQ-SC,2.49,-8.51
HSBC Small Cap Equity Fund - Direct Plan,EQ-SC,1.09,-7.22
HSBC Tax Saver Equity Fund,EQ-ELSS,2.49,-3.64
HSBC Tax Saver Equity Fund - Direct Plan,EQ-ELSS,1.26,-2.39
ICICI Prudential Bank ETF,EQ-BANK,0.16,-22.38
ICICI Prudential Banking and Financial Services Fund,EQ-BANK,2.23,-20.46
ICICI Prudential Banking and Financial Services Fund - Direct Plan,EQ-BANK,1.19,-19.74
ICICI Prudential BHARAT 22 FOF,EQ-LC,0.01,-26.80
ICICI Prudential BHARAT 22 FOF - Direct Plan,EQ-LC,0.01,-26.80
ICICI Prudential Bharat Consumption Fund,EQ-Consumption,2.47,4.60
ICICI Prudential Bharat Consumption Fund - Direct Plan,EQ-Consumption,1.09,6.18
ICICI Prudential Bharat Consumption Fund - Series 1,EQ-Consumption,1.38,0.20
ICICI Prudential Bharat Consumption Fund - Series 1 - Direct Plan,EQ-Consumption,NA,0.49
ICICI Prudential Bharat Consumption Fund - Series 2,EQ-Consumption,1.39,7.49
ICICI Prudential Bharat Consumption Fund - Series 2 - Direct Plan,EQ-Consumption,NA,7.89
ICICI Prudential Bharat Consumption Fund - Series 3,EQ-Consumption,1.37,-0.10
ICICI Prudential Bharat Consumption Fund - Series 3 - Direct Plan,EQ-Consumption,NA,0.29
ICICI Prudential Bharat Consumption Fund - Series 4,EQ-Consumption,1.37,5.21
ICICI Prudential Bharat Consumption Fund - Series 4 - Direct Plan,EQ-Consumption,NA,5.69
ICICI Prudential Bharat Consumption Fund - Series 5,EQ-Consumption,1.34,7.95
ICICI Prudential Bharat Consumption Fund - Series 5 - Direct Plan,EQ-Consumption,NA,8.37
ICICI Prudential Bluechip Fund,EQ-LC,1.79,-1.95
