Value Research,,,,,
Generate on: 23-Jul-2020 06:29,,,,,
,,,,,
All Equity Funds,,,,,
,,,,,
Fund Name,3 Yr Ret (%),5 Yr Ret (%),10 Yr Ret (%),15 Yr Ret (%),20 Yr Ret (%)
UTI Focussed Equity Fund - Series I (2195 Days) - Regular Plan,0.57,4.09,NA,NA,NA
UTI Focussed Equity Fund Series IV (1104 Days) - Direct Plan,NA,NA,NA,NA,NA
UTI Focussed Equity Fund Series IV (1104 Days) - Regular Plan,NA,NA,NA,NA,NA
UTI Focussed Equity Fund Series V (1102 Days) - Direct Plan,NA,NA,NA,NA,NA
UTI Focussed Equity Fund Series V (1102 Days) - Regular Plan,NA,NA,NA,NA,NA
UTI Focussed Equity Fund Series VI (1150 Days) - Direct Plan,NA,NA,NA,NA,NA
UTI Focussed Equity Fund Series VI (1150 Days) - Regular Plan,NA,NA,NA,NA,NA
UTI Healthcare Fund - Direct Plan,8.68,3.35,NA,NA,NA
UTI Healthcare Fund - Regular Plan,7.60,2.36,11.42,12.42,14.13
UTI India Consumer Fund - Direct Plan,3.06,4.93,NA,NA,NA
UTI India Consumer Fund - Regular Plan,2.51,4.37,8.65,NA,NA
UTI Infrastructure Fund - Direct Plan,-5.20,0.02,NA,NA,NA
UTI Infrastructure Fund - Regular Plan,-5.60,-0.40,2.10,7.87,NA
UTI Long Term Advantage Fund - Series III - Direct Plan,-1.26,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series III - Regular Plan,-1.99,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series IV - Direct Plan,-6.22,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series IV - Regular Plan,-7.32,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series V - Direct Plan,-4.42,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series VI - Direct Plan,NA,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series VII - Direct Plan,NA,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series VII - Regular Plan,NA,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series VI - Regular Plan,NA,NA,NA,NA,NA
UTI Long Term Advantage Fund - Series V - Regular Plan,-5.68,NA,NA,NA,NA
UTI Long Term Equity Fund,1.96,4.86,8.22,9.83,13.23
UTI Long Term Equity Fund - Direct Plan,2.86,5.84,NA,NA,NA
UTI Master Equity Plan Unit Scheme,0.74,4.63,8.33,11.40,NA
UTI Mastershare Fund - Direct Plan,4.32,5.78,NA,NA,NA
UTI Mastershare Fund - Regular Plan,3.43,5.00,8.76,11.79,12.40
UTI Mid Cap Fund - Direct Plan,-0.06,4.38,NA,NA,NA
UTI Mid Cap Fund - Regular Plan,-0.94,3.45,11.71,13.07,NA
UTI MNC Fund - Direct Plan,4.28,5.43,NA,NA,NA
UTI MNC Fund - Regular Plan,3.37,4.48,13.33,14.77,15.80
UTI Nifty Exchange Traded Fund,5.06,NA,NA,NA,NA
UTI Nifty Index Fund - Direct Plan,4.90,6.21,NA,NA,NA
UTI Nifty Index Fund - Regular Plan,4.82,6.13,7.98,11.48,11.38
UTI Nifty Next 50 Exchange Traded Fund - Regular Plan,NA,NA,NA,NA,NA
UTI Nifty Next 50 Index Fund - Direct Plan,NA,NA,NA,NA,NA
UTI Nifty Next 50 Index Fund - Regular Plan,NA,NA,NA,NA,NA
UTI Sensex Exchange Traded Fund,6.93,NA,NA,NA,NA
UTI S&P BSE Sensex Next 50 ETF - Regular Plan,NA,NA,NA,NA,NA
UTI Transportation and Logistics Fund - Direct Plan,-9.57,-0.60,NA,NA,NA
UTI Transportation and Logistics Fund - Regular Plan,-10.59,-1.74,11.53,12.33,NA
UTI Value Opportunities Fund - Direct Plan,4.29,5.09,NA,NA,NA
UTI Value Opportunities Fund - Regular Plan,3.56,4.34,9.25,12.68,NA
