Value Research,,,,,
Generate on: 23-Jul-2020 06:29,,,,,
,,,,,
All Equity Funds,,,,,
,,,,,
Fund Name,3 Yr Ret (%),5 Yr Ret (%),10 Yr Ret (%),15 Yr Ret (%),20 Yr Ret (%)
Franklin India Feeder Franklin US Opportunities Fund,24.09,15.64,NA,NA,NA
Franklin India Feeder Franklin US Opportunities Fund - Direct Plan,25.21,16.69,NA,NA,NA
Franklin India Focused Equity Fund,-0.28,3.88,11.37,NA,NA
Franklin India Focused Equity Fund - Direct Plan,0.73,5.04,NA,NA,NA
Franklin India Index Fund - NSE Nifty Plan,3.77,5.14,7.44,11.16,NA
Franklin India Index Fund - NSE Nifty Plan - Direct Plan,4.24,5.61,NA,NA,NA
Franklin India Opportunities Fund,-0.88,2.94,8.38,11.11,11.37
Franklin India Opportunities Fund - Direct Plan,-0.09,3.76,NA,NA,NA
Franklin India Prima Fund,-1.69,4.55,12.02,12.99,19.97
Franklin India Prima Fund - Direct Plan,-0.75,5.59,NA,NA,NA
Franklin India Smaller Companies Fund,-9.28,0.92,11.02,NA,NA
Franklin India Smaller Companies Fund - Direct Plan,-8.29,2.10,NA,NA,NA
Franklin India Taxshield Fund,-1.93,2.28,9.75,12.95,15.42
Franklin India Taxshield Fund - Direct Plan,-0.97,3.29,NA,NA,NA
Franklin India Technology Fund,17.32,10.90,12.86,13.48,10.09
Franklin India Technology Fund - Direct Plan,18.14,11.65,NA,NA,NA
HDFC Capital Builder Value Fund,-1.09,4.24,9.14,12.85,15.83
HDFC Capital Builder Value Fund - Direct Plan,-0.01,5.37,NA,NA,NA
HDFC Equity Fund,-1.62,3.17,7.97,14.04,18.17
HDFC Equity Fund - Direct Plan,-0.89,3.98,NA,NA,NA
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Direct Plan,-4.26,NA,NA,NA,NA
HDFC Equity Opportunities Fund II 1100D June 2017 (1) - Regular Plan,-5.33,NA,NA,NA,NA
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Direct Plan,-3.16,NA,NA,NA,NA
HDFC Equity Opportunities Fund II 1126D May 2017 (1) - Regular Plan,-4.13,NA,NA,NA,NA
HDFC Focused 30 Fund,-4.50,1.54,5.51,10.71,NA
HDFC Focused 30 Fund - Direct Plan,-3.58,2.58,NA,NA,NA
HDFC Growth Opportunities Fund - Direct Plan,-1.29,1.89,NA,NA,NA
HDFC Growth Opportunities Fund - Regular Plan,-1.45,1.74,5.16,8.87,10.87
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Direct Plan,NA,NA,NA,NA,NA
HDFC Housing Opportunities Fund Series 1 1140D November 2017 (1) - Regular Plan,NA,NA,NA,NA,NA
HDFC Index Fund Nifty 50 Plan,4.63,5.94,7.91,10.61,NA
HDFC Index Fund Nifty 50 Plan - Direct Plan,4.82,6.12,NA,NA,NA
HDFC Index Fund - Sensex Plan,6.35,6.71,8.37,11.03,NA
HDFC Index Fund - Sensex Plan - Direct Plan,6.55,6.89,NA,NA,NA
HDFC Infrastructure Fund,-18.72,-8.51,-1.34,NA,NA
HDFC Infrastructure Fund - Direct Plan,-18.08,-7.76,NA,NA,NA
HDFC Long Term Advantage Fund,1.14,6.68,9.86,12.36,NA
HDFC Long Term Advantage Fund - Direct Plan,1.72,7.32,NA,NA,NA
HDFC Mid-Cap Opportunities Fund,-2.89,5.07,12.67,NA,NA
HDFC Mid-Cap Opportunities Fund - Direct Plan,-2.02,6.03,NA,NA,NA
HDFC Nifty 50 ETF,5.06,NA,NA,NA,NA
HDFC Retirement Savings Fund Equity Plan - Direct Plan,2.22,NA,NA,NA,NA
HDFC Retirement Savings Fund Equity Plan - Regular Plan,0.78,NA,NA,NA,NA
HDFC Sensex ETF,6.91,NA,NA,NA,NA
HDFC Small Cap Fund - Direct Plan,-3.36,5.89,NA,NA,NA
HDFC Small Cap Fund - Regular Plan,-4.55,4.59,8.45,NA,NA
HDFC Taxsaver Fund,-3.41,2.41,7.23,11.64,17.48
HDFC Taxsaver Fund - Direct Plan,-2.78,3.07,NA,NA,NA
HDFC Top 100 Fund,-0.27,4.16,7.99,14.09,17.86
HDFC Top 100 Fund - Direct Plan,0.39,4.87,NA,NA,NA
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Direct Plan,8.77,9.44,NA,NA,NA
HSBC Asia Pacific (Ex Japan) Dividend Yield Fund - Regular Plan,7.98,8.66,NA,NA,NA
